station_id,total_sessions,total_revenue,unique_customers,total_kwh,sessions_per_customer,total_sessions_score,total_revenue_score,sessions_per_customer_score,total_kwh_score,overall_score
STN_001,15162,359914.16,4585,620951.6,3.3068702290076337,98.47027131037137,58.48951732822065,100.0,58.62505567014574,78.89621107718445
STN_002,15276,545458.72,4637,940999.0,3.2943713607936167,99.56705791802963,100.0,99.12149328969846,100.0,99.67213780193202
STN_003,15321,424603.28,4659,733802.6,3.2884739214423697,100.0,72.96192543769396,98.70698055502889,73.21415666758669,86.22076566507738
STN_004,15121,417831.11,4655,720723.5,3.2483351235230935,98.07581296902059,71.4468390054356,95.88574884734705,71.52332263992517,84.23293086543211
STN_005,15160,406249.04,4621,702048.5,3.280675178532785,98.45102944006157,68.85566998362039,98.15883108575908,69.10906436018277,83.64364871740594
STN_006,15045,450318.99,4679,778478.1,3.215430647574268,97.34462189724842,78.71510696102992,93.57299521037527,78.9896959327343,87.15560500034698
STN_007,15218,385943.19,4658,666315.7,3.2670674109059683,99.0090436790456,64.31279556811205,97.2023832724302,64.4896154574583,81.25345949426153
STN_008,15154,495315.18,4622,854549.0,3.2786672436174817,98.3933038291322,88.7817646161565,98.01769956354937,88.82395564745752,93.50418091407388
STN_009,10159,205476.6,3721,335024.2,2.7301800591238914,50.336732730421396,23.93836876179605,59.46623523563205,21.66106140748349,38.85059953383325
STN_010,10092,288199.43,3761,470159.7,2.683328901887796,49.692130075043295,42.44532256995701,56.17321259449851,39.131048007865246,46.86042831184101
STN_011,10124,282259.55,3740,460023.0,2.706951871657754,50.0,41.11643809168155,57.83359792737889,37.82060024860073,46.69265906691529
STN_012,10231,354722.41,3775,578262.8,2.710198675496689,51.029440061573986,57.328006322933234,58.06180570673113,53.10635211714615,54.88140105209612
STN_013,10072,285597.92,3790,464895.3,2.6575197889182056,49.49971137194535,41.863306391334135,54.35917003140563,38.450479264203885,46.04316676472225
STN_014,10161,294920.09,3750,480807.6,2.7096,50.35597460073119,43.94888505905893,58.019726661482494,40.50758245160656,48.20804219321979
STN_015,10179,248541.39,3738,405052.2,2.7231139646869984,50.52915143351934,33.572928886106986,58.96958135688539,30.714109804474166,43.44644287024647
STN_016,10170,249456.66,3742,406923.6,2.7177979690005345,50.442563017125266,33.77769532859928,58.59593649540463,30.9560398149004,43.443058664007395
STN_017,10289,303074.18,3805,494681.8,2.70407358738502,51.58745430055801,45.77313801289993,57.63129224621997,42.30120506069904,49.32327240509424
STN_018,5064,142055.25,2621,241949.7,1.9320869896985884,1.3180681162208967,9.749589256776586,3.3707468338111135,9.62861791308541,6.016755529973501
STN_019,5100,163630.4,2590,278262.9,1.9691119691119692,1.664421781797191,14.576434572080037,5.973117889052246,14.323099506870781,9.134268437450064
STN_020,5076,128627.16,2652,218694.9,1.914027149321267,1.4335193380796614,6.7454241265238135,2.101376624702206,6.622294301639433,4.225653597736279
STN_021,4927,112435.96,2615,190913.4,1.8841300191204589,0.0,3.123089270490773,0.0,3.030769996490114,1.5384648167452217
STN_022,5078,98476.3,2608,167469.5,1.947085889570552,1.4527612083894554,0.0,4.424973021257738,0.0,1.4694335574117985
STN_023,5041,125004.1,2614,212866.3,1.9284621270084161,1.0967866076582644,5.934864283924187,3.115966469484465,5.868787163256216,4.004101131080783
STN_024,5134,127292.2,2694,216307.1,1.9057164068299925,1.9915335770636904,6.446763610971544,1.51724029162327,6.313605363467071,4.067285710781394
STN_025,5036,146115.72,2663,248146.6,1.8911002628614344,1.048681931883779,10.658007534166556,0.4899168303908621,10.429737973794149,5.656586067558837
STN_026,5049,128021.59,2629,217413.2,1.9205020920502092,1.173754088897441,6.609944525335022,2.5564802819929198,6.4565992635057885,4.199194539932793
STN_027,5007,146241.53,2568,248708.4,1.949766355140187,0.7696748123917645,10.686154055007353,4.613374638855053,10.502366102391699,6.642892402161467
STN_028,5000,182471.88,2549,310719.0,1.9615535504119261,0.702328266307485,18.791696550392295,5.441860063658922,18.51894465563369,10.863707383998097
STN_029,5129,153696.74,2606,261574.9,1.9681504221028396,1.9434289012892052,12.354051866290398,5.905533729804664,12.165715722541933,8.09218255498155
STN_030,5196,101015.87,2684,171401.3,1.9359165424739195,2.588031556667308,0.5681588103621598,3.639914229848569,0.5082934781414268,1.8260995187548659
STN_031,4999,128238.83,2620,217616.2,1.9080152671755726,0.692707331152588,6.658545989347858,1.6788200606917443,6.482842606519856,3.8782289969280117
STN_032,5125,131525.38,2675,223755.3,1.9158878504672898,1.904945160669617,7.393820991885991,2.232159541575718,7.276490424734932,4.701854029716564
STN_033,5129,158369.31,2678,269248.9,1.9152352501867065,1.9434289012892052,13.399410652436844,2.1862902903907044,13.157791655004758,7.671730374780378
