customer_id,user_type,frequency,avg_spend,total_spend,clv
CUST_00288,public,84,30.240714285714283,2540.22,2540.22
CUST_00045,public,86,29.34058139534884,2523.29,2523.29
CUST_00075,taxi,92,27.29391304347826,2511.04,2511.04
CUST_00365,fleet,91,26.821538461538463,2440.76,2440.76
CUST_00078,delivery,90,27.059666666666665,2435.37,2435.37
CUST_00203,fleet,84,28.616904761904763,2403.82,2403.82
CUST_00354,public,90,26.631,2396.79,2396.79
CUST_00215,taxi,83,28.823493975903613,2392.35,2392.35
CUST_00310,public,90,26.387333333333334,2374.86,2374.86
CUST_00205,fleet,78,30.39,2370.42,2370.42
